Affiliation,K2_count,Kepler_count,CarnegieClass
Ludwig-Maximilians-Universität München,,2,-2.0
W,,2,-2.0
150 West University Boulevard,,2,-2.0
CEA/DRF — CNRS — Université Paris Diderot,,2,-2.0
Dunlap Institute for Astronomy and Astrophysics,,1,-2.0
Institut für Astronomie and Astrophysik,,1,-2.0
Instituto de Ciencias del Espacio (CSIC-IEEC),,1,-2.0
Instituto de Astronomía y Física del Espacio (IAFE),,1,-2.0
Instituto de Física - FCEN,,1,-2.0
Nicolaus Copernicus Astronomical Centre,,1,-2.0
New Jersey Institute of Technology,,1,15.0
Instituto de Astronomía Teórica y Experimental (IATE),,1,-2.0
Instituto de Astronomia - Universidad Nacional Autónoma de México,,1,-2.0
National University of Public Service,,1,-2.0
National Tsing-Hua University,,1,-2.0
Instituto de Astronomía Teórica y Experimental,,1,-2.0
Instituto de Astronomia Geofísica e Ciências Atmosféricas,,1,-2.0
Instituto de Ciencia de Materiales de Madrid,,1,-2.0
European Space Agency/European Space Research and Technology Centre (ESA/ESTEC),,1,-2.0
Max Planck Institut fur Gravitationsphysik (Albert-Einstein-Institut),,1,-2.0
Instituto de Astrofísica de Canariasx,,1,-2.0
Institute for Space-Earth Environmental Research,,1,-2.0
Observatoire Aquitain des Sciences de l'Universe,,1,-2.0
Institute of Geophysics,,1,-2.0
Observatoire de Besançon,,1,-2.0
Dep. de Física Estelar. Instituto de Astrofísica de Andalucía (IAA-CSIC),,1,-2.0
Institute of Astronomy of the Russian Academy of Sciences,,1,-2.0
Institute of Astronomy of Russian Academy of Sciences,,1,-2.0
Institute for Atmospheric and Climate Science,,1,-2.0
Institute for Research in Fundamental Sciences (IPM),,1,-2.0
Instituto de Astrofísica de Andalucía CSIC,,1,-2.0
Institute for Physics,,1,-2.0
Observatori Astronòmic,,1,-2.0
Institute for Particle Physics and Astrophysics,,1,-2.0
Institute for Mathematics,,1,-2.0
Observatorio Astronómico de Córdoba (OAC),,1,-2.0
Institute for Data Analysis,,1,-2.0
Institute for Computational Science,,1,-2.0
Institute for Astronomy and Astrophysics and oretical Institute for Advanced Research in Astrophysics,,1,-2.0
Institute for Astronomy and Astrophysics,,1,-2.0
Institut of computational sciences,,1,-2.0
Observational Cosmology Laboratory,,1,-2.0
Institut für Geowissenschaften,,1,-2.0
Institut für Weltraumforschung (IWF),,1,-2.0
Instituto Nacional de Pesquisas Espaciais Av. dos Astronautas,,1,-2.0
Instituto Nacional de Astrofísica Optica y Electrónica Luis Enrique Erro #1,,1,-2.0
Instituto Federal do Rio de Janeiro,,1,-2.0
Institute of Statistics and Big Data,,1,-2.0
Institute of Space Weather Sciences,,1,-3.0
Instituto de Física de Cantabria (CSIC-UC),,1,-2.0
Institut für oretische Physik der,,1,-2.0
Institute of Space Sciences,,1,-2.0
North West University,,1,-2.0
Dunlap Institute for Astronomy &amp,,1,-2.0
Dunlap Institute,,1,-2.0
Northern Operations Center,,1,-2.0
Dipartimento di AstronomiaUniversità degli Studi di Padova,,1,-2.0
Institute of Space Sciences (IEEC-CSIC),,1,-2.0
Jaypee Institute of Information Technology,,1,-2.0
Instituto de Física y Astronomía,,1,-2.0
Max-Planck Institute for Astronomy (MPIA),,1,-2.0
INAF-Astrophysical Observatory of Catania,,1,-2.0
Groupe Européen d'Observations Stellaires (GEOS),,1,-2.0
INAF-Catania Astrophysical Observatory,,1,-2.0
Lomonosov Moscow Moscow State University,,1,-2.0
Liège University,,1,-2.0
Graduate Institute of Space Science,,1,-2.0
Liberal Arts Education Center,,1,-2.0
Leibniz-Institute for Astrophysics,,1,-2.0
Indian Institute of Astrophysics 560034,,1,-2.0
Max-Planck-Institute for Extraterrestrial Physics,,1,-2.0
Leibniz-Institut fur Astrophysik Potsdam,,1,-2.0
Indian Institute of Science Education and Research,,1,-2.0
Max-Planck-Institute für Sonnensystemforschung,,1,-2.0
Mbarara University of Science and Technology,,1,-2.0
Leibniz Institute for Astrophysics,,1,-2.0
Max-Planck-Institut fur Sonnensystemforschung,,1,-2.0
INAF - Astrophysical Observatory of Catania,,1,-2.0
Indian Institute of Technology Delhi,,1,-2.0
Max-Planck Institut für Radioastronomie,,1,-2.0
Max Planck Institut für Gravitationsphysik (Albert-Einstein-Institut),,1,-2.0
Max Planck Institut fuer Astronomie,,1,-2.0
Materials Engineering Research Institute,,1,-2.0
Main Astronomical Observatory,,1,-2.0
Max Planck Institute for Gravitational Physics,,1,-2.0
Max Planck Institute for Gravitational Physics (Albert Einstein Institute),,1,-2.0
Hebrew University,,1,-2.0
Max Planck Institute for Solar system Research,,1,-2.0
Macquarie University - Sydney,,1,-2.0
Max Planck Institute für Extraterrestriche Physik,,1,-2.0
Max Planck Institute of Astronomy,,1,-2.0
Max-Planck Institut für Extraterrestrische Physik,,1,-2.0
Higher Technological Educational Institute of Central Macedonia,,1,-2.0
M. V. Lomonosov Moscow State University,,1,-2.0
